,job_description,size,activity,language,Machine Learning,Deep Learning,NLP,Business Intelligence,Data Analytics,Cloud Computing,Big Data Frameworks,Statistics,Time Series,Database Management,Data Extraction,Data Mining,Python/R,SQL,NoSQL,Java/JavaScript,C/C++,Scala,SAS,Recommendation Systems,MLOps,DevOps,Flask,Optimization
254," country poland job family client solutions for over 80 years, gfk has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every consumer’s life - and we will continue to build on this. we connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media. with our headquarters in germany and a presence in around 60 countries worldwide, you benefit from our global company with a diverse community of ~9,000 employees. harnessing the power of our workforce, the greatest asset we have is our people. as part of gfk, you can take your future into your own hands. we value talent, skills and responsibility and support your development within our international teams. we are proud of our heritage and our future: currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology. this is only possible with extraordinary people and this is why we are looking for you to help create our future. for our employees as well as for our clients we pursue one goal: growth from knowledge! job description the vision of the project execution team - integrated media solutions - (short: pet i-solutions) is to become a highly efficient state of the art execution | custom (client paid) development team. we will establish and guarantee smooth execution / development processes which services all media measurement countries. we work together with product + innovation teams on process optimization including the data input. strong products and a smooth production process are key for the success of our department. the main goal of the data scientist is to act as a developer of customized (client paid) solutions within i-solutions projects. as a data scientist, you will have following key accountabilities: development of tailor-made /custom business (media) client-paid solutions generating consumer insightsdevelopment of innovative solutions, application of mathematical methods and computer-aided implementationprofessional handling of large, partly unstructured consumer datacreation and execution of complex statistical analyzes that are required for reporting purposes or for answering in-depth clients questions what skills, qualifications and experience do you need? advanced skills in relevant (statistical) programming languages like r or pythongood english language skills both written and oral (polish language would be cosnidered as an advantage)client and result oriented personality, convincing with creative approachesconfident in handling common multivariate analysesexcellent analytical skills, that you can skillfully use to solve complex (data) challengesinterpersonal and communication skillsattention to detailsability to work effectively with the global pet team, but also work independently when neededpreferred: previous media experience (media background), in-depth understanding of media kpis we are an ethical and honest company that is wholly committed to its clients and employees. we are proud to be an inclusive workplace for all and are committed to equal opportunity in employment which focuses on all of our employees reaching their full potential. at gfk we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours. we offer an exciting work environment that brings people together. we encourage an entrepreneurial and innovative spirit. we make use of the latest digital technologies. we are looking for self-starters, who accept challenges and create solutions. can there be a better place to take center stage in the digital revolution? we are excited to get to know you! "," 5,001-10,000 employees ", IT Services and IT Consulting ,en,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
255," meet bending spoons. right now, we're among the world’s leading mobile app developers, with millions of users of our products. but there’s a whole lot more in store. we’re going all-out to create one of the greatest tech companies in history—both for the impact of our products and for the quality of the jobs we offer. it’s no secret that ai and computer vision are increasingly integral when creating outstanding digital products—and we’ve got ambitious plans to leverage their potential to the fullest. as an ai engineer at bending spoons, you get all the freedom and support you need to bring our game-changing ai strategy to fruition. that involves working at the very cutting edge of the field—then pushing it forward. we’re recruiting for multiple positions within the team, so we invite applicants of all seniority and experience levels. as a team, your responsibilities include the following:identifying and implementing the optimal ai solution to power each user-facing feature.maximizing performance, robustness, and maintainability.collaborating with the research team to optimize ai models and bring them to production.teaming up with product managers to identify ways that ai can improve our user experience.working alongside the other engineering teams to create the necessary tools and infrastructure. what we offertalented, knowledgeable colleagues. learn from and teach some of the brightest and most skilled people you’ll ever meet. your talent is going to blossom here.huge impact. you’ll make a major contribution to products used by millions all around the world. the quality of your work will make a decisive difference both to our users and to bending spoons as a company.people who lift each other up. we hire for talent and leave divas at the door. you'll find a group of truly talented spooners who are eager to learn and teach their secrets. reciprocal support and respect is everything—you’re unlikely to ever encounter a more harmonious crew.cutting edge tools. you get the best hardware on the market and all the software you could need.flexible schedule. our regular hours are 9-6 gmt+1, but this isn’t a “clock in, clock out” company. morning person? start work while the world’s still sleeping. night owl? ramp things up while others are winding down. you’re fully trusted to create the right conditions for your personal peak productivity. we only ask that you’re available to your teammates a good chunk of the day (six hours or so). that’s why it’s generally best to be based somewhere with a similar time zone—between gmt-2 and gmt+3.unlimited time off. take all the time you need to be with your family or recharge your batteries—no permission process or vacation allowance here. because a rested, relaxed, and refreshed spooner is a happy and effective spooner.top-of-the-market salary and stock options. our compensation package is highly competitive and can grow rapidly and include stock options, depending on your performance and seniority.continuous education. we pay for your italian/english language lessons and offer an unlimited budget for learning investments.relocation package. to ease your move to milan (should you decide to relocate), the first three months of rent are on us. visa support is provided for those who need it. what we look forrelevant background or expertise. you hold an msc or phd in computer science, machine learning, computer vision, or a related technical field. alternatively, you have relevant expertise.relevant knowledge. for senior roles, you’re familiar with deep learning and convolutional neural networks (ideally, in their application to image and video processing).reasoning and depth of learning. you’re structured and creative enough to solve most challenging problems independently, given the necessary knowledge. you learn new concepts and skills rapidly, and love to nerd out and go in-depth.passion for the topic. you have a passion for ai in general and computer vision specifically.good communication skills. you can pose questions with clarity and explain your reasoning concisely.proficiency in english. you read, write, and speak proficiently in english. commitment & contractfull-time, permanent or fixed-term (depending on seniority). locationmilan, italy or fully remote if you can’t (or don’t want to) relocate. we offer substantial support for relocation. this includes finding an apartment in milan and paying the rent for 12 weeks. the recruiting processif you successfully pass through our screening process, we’ll invite you to take on a few tests that assess how you approach and solve unfamiliar problems. these tests don’t require any prior knowledge, and they should take a few hours to complete. if you’re successful there, we’ll invite you to some interviews—normally two or three—to get to know each other and figure out if it’s a good fit for both parties. the interviews are held remotely, and include some behavioral and problem-solving questions. to limit arbitrariness and human bias, all bending spoons hiring decisions are made by a hiring committee.spooners come from all over the world and english is our working language. we welcome applications in english or italian—whichever suits you best! all interviews and assessments take place in english and are held online. bending spoons is an equal opportunity and affirmative action employer. we consider for employment all applicants, regardless of their race, religion, color, ancestry, national origin, sex, sexual orientation, gender, gender identity, age, pregnancy, political affiliation, disability, and any other legally protected characteristic. we’re committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. if you need any assistance or accommodations, please let us know at accommodations-ext@bendingspoons.com ", 201-500 employees , Internet Publishing ,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256," summary apple is a place where extraordinary people gather to do their best work. if you’re excited by the idea of making a real impact, a career with apple might be your dream job… just be prepared to dream big! an expert in advanced analytics, you are passionate about turning data into impactful insights, and driving creative data science solutions. you are skilled at creating analytical models and interactive visualisations. you are a motivated self-starter, comfortable navigating through ambiguity to evaluate complex data, analyse data from multiple angles, build analytical workflows, to deliver findings that directly impact the business. if this describes you, then you should consider joining us. key qualifications experienced in designing, modelling and implementing decision optimisation using constraint programming, mathematical integer linear programming, & boolean satisfiability techniques stochastic optimisation, discrete event simulation, reinforcement learning. predictive analytics e.g. time-series, regression, anomaly detection deep understanding of machine learning and statistical techniques such as regression, classifiers, clustering, and deep learning experienced in visualisation, and data storytelling; passionate about drawing insights and hidden patterns from data meticulous attention to detail, data integrity, and data wrangling knowledge of relational database technologies such as teradata, oracle or mysql with strong sql execution and optimisation skills. ability to articulate complex ai concepts in business terms, know how to tell a story to highlight key insights, and present analysis effectively to key partners ability to extract technical problem requirements independently. high intellectual curiosity to learn and understand business needs excellent social skills to collaborate with cross-functional partners to share knowledge, communicate findings, and integrate feedback proven ability to operate comfortably and effectively in a fast paced, highly-matrixed, rapidly changing environment experience driving reporting improvements and technology implementations in support of business analytics demonstrated collaboration as well as leadership and influencing skills description the ideal candidate will have outstanding communication skills, proven decision optimisation problem solving skills, data science and advanced analytics capabilities, strong business acumen, and an innate drive to deliver results. they will be a self-starter, comfortable with ambiguity, and enjoy working in a fast-paced dynamic environment. innovative and strategic approach to reporting and business analytics. develop custom models, algorithms, and interactive visualisations to deliver supply chain insights. wrangle and analyse data to identify patterns, trends, and feature engineering evaluate business needs through in-depth conversations with business users to understand the domain and apply data science for insights. present key findings to leadership to evaluate business impact, in non-technical terms education & experience msc or phd in operations research, constraint programming, machine learning, statistics or in similar field 5+ years experience in a similar field role number: 200352041 "," 10,001+ employees ", Computers and Electronics Manufacturing ,en,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257," are you passionate about finance, technology and fighting crime? in swedbank you have the opportunity to be part of a fun, diverse, skilled, and international team offering unique opportunities for growth and learning.plan, develop, deploy, and maintain data scientific applications as part of swedbank's financial infrastructure.take on a role in defining, implementing, and maintaining swedbank’s data scientific products.work alongside other data scientists, engineers and product owners focusing on a large variety of data-driven deliveries servicing the bank on a global level.excel at your tasks and improve your skills by using cloud infrastructure.collaborate with your colleagues to advance boundaries of data science within banking and finance, especially fighting crime. what is needed in this role master's or phd degree in a related field (mathematics, statistics, computer science, informatics), or a great reason for not having one.previous experience of work in similar environments (data science, it, agile, finance).demonstrated experience of building and delivering data scientific products.curiosity to learn and internalize industry best practices and take charge of competence development in teams.a customer-centric mindset and active participation and engagement in stakeholder communication.business acumen and general understanding of application domains within banking and finance.familiarity with cloud infrastructure, design patterns and technologies.earlier exposure to risk, aml or cybersecurity is meriting.this is not a job in sandbox mode! we engage closely with other departments, build business-critical products, and safeguard their continuous functionality. at swedbank we believe that people are our core strength. our culture is built on respect, inclusion and openness. we support continuous development and enable you to take the lead in your career and find inspiring challenges. we take care of your wellbeing by providing a sustainable and flexible working environment. as an employee you will be part of the group performance program, offered a company pension plan, optional health insurance, as well as other benefits. we are guided by our values: open, simple and caring. it’s all about delivering a positive and unique experience for our customers through collaboration and team-work – together we make a difference. ""join our team and... be a part of an international team of professionals, who are jointly delivering challenging projects, maximizing customer value and increasing swedbank’s competitive advantage."" mehrdad mamaghani, your future leader we look forward to your application at 26.06.2022 the latest. location: stockholm hq, riga, tallinn, vilnius contacts recruiting manager: mehrdad mamaghani, +46 72 208 39 93 saco: henrik joelsson finansförbundet: jessica lööw +46 8 58 59 52 33 we may begin the selection during the application period, so we welcome your application as soon as possible. we have made our choice regarding recruitment media and therefore kindly decline contact with ad sellers or sellers of other recruitment services. if you are to be employed in latvia, please note that the salary offered for this position ranges from 2150-3250 eur gross i.e. before taxes. read more here. if you are to be employed in lithuania, please note that the salary offered for this position ranges from 2600-3900 eur gross i.e. before taxes. read more here. if you are to be employed in estonia, please note that the salary offered for this position ranges from 2500-3800 eur gross i.e. before taxes. read more here! swedbank does not discriminate anybody based on gender, age, sexual orientation or sexual identity, ethnicity, religion or disability – everybody is welcome. "," 10,001+ employees ", Financial Services ,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258," hrs as a company hrs is reinventing the way businesses and governments work, stay and pay in today’s dynamic global marketplace. hrs’ advanced platform technology is extending its reach beyond hospitality to meetings, office space management, payment efficiency and crisis recovery. beyond cost savings in the global post-pandemic economy, hrs clients gain from an unrivaled focus on essential aspects including safety, security and satisfaction. hrs is also recognized for its award-winning green stay initiative , technology that helps corporate hotel programs achieve their netzero targets, and its groundbreaking crew & passengers solution, which leverages automation to elevate experiences for air and rail operations. founded in 1972, hrs works with 35 percent of the global fortune 500, as well as the world’s leading hotel chains, regional hospitality groups and payment providers. business unit the hrs data & analytics platform is one of the key enablers of hrs group’s tech- and data driven business travel solutions. state of the art services and solutions like strategic consulting & hotel procurement, travel payment and expense solutions or efficient tools to manage corporate meetings and group booking facilitate the travel processes and guarantee savings along the value chain. around 50 data specialists (analysts, scientists and engineers) work together in our data community to create analytics solutions that serve our corporate customers, hotel partners, internal stakeholders, and ultimately millions of business travelers worldwide.hrs data & analytics leverage a rich data landscape (spend data, booking data, rate data, web analytics data, etc.) turning raw data into actionable insights to provide (semi-) automated decision support to customers and business stakeholders with advanced analytical solutions. we bring state-of-the-art algorithms in production, to enhance search & booking experience (with personalized recommendations), or optimize the corporate hotel portfolio to the objectives of customers and the needs of the travelers.your mission is to help reinventing how business work, stay, and pay, poweredby data & analytics solutions and make it the next innovation of the hrs group together with a great international team of passionate and result-driven entrepreneurial minds. position in this responsible and impactful data scientist position, the future position holder takes on the helps optimizing customer hotel programs and elevating hotel partners' business by designing, developing and deploying data products, data (science) models, and pipelines. it includes notions of self-responsible ownership and project management of respective tasks and initiatives. the position is embedded in the wider data & analytics platform team, collaborating with other data functions such as data engineering, analytics engineering, and data consulting. in this collaborative effort, new features are developed and implemented, support to customers, hotel partners, and internal hrs stakeholders on existing solutions is given, and education & trainings are delivered to help developing data literacy and -democratization. challenge work on analyzing, understanding, challenging and documenting requirements towards data products within hrs group together with data product management, business and steering teams, as well as management ensuring continued development of the platform to serve hrs group’s strategic vision.translate requirements into technical- and analytical designs and ensure implementation and testing of the proposed solutions leveraging state-of-the-art cloud technologies for data engineering and data science.develop new analytics solutions helping identify customer needs and uncover potential for innovative lodging program optimization approaches in line with hrs group’s overall platform strategy.collaborate with data experts across hrs group to establish best-practices, exchange on latest trends, and stay abreast of your area of responsibilitywork together with the management team to continuously refine and develop hrs group’s data & analytics capabilities and -strategiesbe present across various digital and physical internal or external channels about our data & analytics initiatives to help stakeholders grow their data & analytics knowledge and to attract new talents to the team for this exciting mission you are equipped with... proven hands-on experience in data science or -engineering and understanding what it takes to design, build and maintain successful data platforms, -services and -productssuperior expertise in software engineering in python or r, and sqlknowledge of cloud technologies such as aws, gcp, azure, esp. docker, and apache airflowexcellent communication skills to collaborate with business stakeholders, technical engineers and managementsound project management capabilities, and commercial awareness.fluent in german and english perspective access to a global network of a globally united and mutually responsible “tribe of intrapreneurs” that is passionately dedicated to renew the travel industry and while doing so reinvent the ways how businesses stay, work and pay. our entrepreneurial driven environment of full ownership and execution focus offers you the playground to contribute to a greater mission, while growing personally and professionally throughout this unique journey. you will continuously learn from a radical culture of retrospectives and continuous improvement and actively contribute to making business life better, smarter and more sustainable. location, mobility, incentive the attractive remuneration is in line with the market and, in addition to a fixed monthly salary, all necessary work equipment and mobility, will also include an annual or multi-year bonus. "," 1,001-5,000 employees ", IT Services and IT Consulting ,en,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
261," we invite you to join vodafone to build a future together, in a position where you can learn new things every day and thrive. responsibilities as a business intelligence and data government specialist you’ll be integrated in the busines intelligence department, in the data governance and projects team, in charge of the following responsibilities be responsible for the development of the data governance policy and for the implementation of business intelligence projects.work in the department digitalization journey, implementing digital tools like google cloud and driving the evolution of data management to keep pace with vodafone's changing business.data governance controls implementation, evolution and tracking as core member of the pmo, ensuring on time delivery and the highest possible qualityproject management and tracking of vf-group and vf-spain company projects which usually require cross-area involvement, ensuring on time delivery and the highest possible quality promotion and support in the implementation of digital tools in the departmentfocus on simplicity and speed, keeping data quality and single version of the truth as a must. develop solid relationship with key stakeholders what do you bring? university degree in engineering, computers or maths at least 5 years of professional experience in business intelligence or data management roles or projects project management, both waterfall and agile office tools teradata and google cloud tools data governance policies, processes and tools very high level of english (oral and written) strong communication and team-working skills visualization tools: qlik sense, power bi what’s in it for you? 25 days holiday (with the option to buy up to 10 extra days). (60% home – 40% office) and flexible hours. 3 paid days leave for charity projects. meal vouchers and flexible remuneration. free health insurance with adeslas. access to ´grow with vodafone´, our learning and development experience (linkedin learning included). get to know us better here and find out what life at vodafone could be like for you: https://www.vodafone.es/c/conocenos/es/vodafone-espana/trabaja-con-nosotros/ vodafone is committed to attracting, developing and retaining the best people by offering a flexible, motivating and inclusive workplace in which talent is truly recognised, developed and rewarded. we believe that diversity plays an important role in the success of our business and we are committed to creating an inclusive work environment which respects, values, celebrates and makes the most of people’s individual differences. we are proud to offer equal opportunities regardless of race, nationality, cultural origin, sex, age, marital status, sexual orientation, gender identity, disability and religious or political beliefs. "," 10,001+ employees ", Telecommunications ,en,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262," love sports? we are looking for someone like you. job type - contract-based (not part-time or full-time) get to know us - https://www.geniussports.com/ genius sports statisticians are responsible for attending football and ice hockey events in frederikshavn, denmark, and reporting all the action directly from the venue using our state-of-the-art mobile interface and short key-phrase reports. this is a great part-time position, and as such, students are very welcome to apply. no prior reporting knowledge is required, full training included. as a member of our global statistician's network, you'll get to attend more sporting events in your area. we offer attractive payment and a performance-based bonus system. if you enjoy sports and would like to become a part of the sports industry, this could be your chance! job requirements:you are reliable, committed, organized, and honestclear and understandable spoken englishgood knowledge of the rules of football and ice hockey with regards to the laws of the game, basic tactics, and jargonregular availability on weekends and weekday eveningswillingness to travel to sports venues (driver’s license or travel card is an advantage) are you ready to join the genius sports team? "," 1,001-5,000 employees "," Technology, Information and Media ",en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263," in global business services, we support basf's divisions with a cross-functional network and offer modern solutions tailored to the needs of the business. as a specialized service unit we ensure a high level of customer orientation and we design our services to be cooperative, efficient and future-oriented. responsibilities the data science team of the global technology unit is part of the basf wide data science community. as data scientist you are implementing new solutions and algorithms to improve and extent our services together with data analysts in the service delivery units. this includes creating a framework for use case management, getting privileged access to expert databases and tools, sharing of best practices as well as the technical implementation of use cases. from day one, you take over the technical responsibility for the project life cycle of assigned use cases. together with partnering units, you define requirements (data tables, causality, correlation factors), expected output formats (table, chart, rule definition) as well as measurable goals of use cases. you select and evaluate data together with our stakeholders. moreover, you develop statistical learning methods and predictive models (including access to expert databases and tools) and test as well as implement the developed solutions together with the service units. you exchange information and best practices within the basf data science community and are involved in various innovation projects. qualifications phd or master´s degree in computer science, statistics, machine learning or in a related field of study at least 3 years of professional experience in process optimization and in applying statistical and predictive models profound knowledge of machine learning algorithms, scripting languages and tools like python, r, spark, cybernetic cluster, alteryx strong analytical skills as well as advanced project management skills solution- and customer-oriented working style as well as interest in acquiring and deepening professional knowledge strong communication skills in english; german is a plus benefits flexible working hours so that you can organize your working and private life according to your needs. onboarding to help you settle in quickly, ensuring you are part of the basf team from day one. location-independent work models with defined days of presence in berlin and place of residence in germany. development discussions and programs so that you can reach your full potential. about us do you have any questions about the application process or the position? please reach out to leona licina, tel.- +49 30 2005-56482 first information about our application process can be found here- http://on.basf.com/applicationprocess. as an international service hub, the basf services europe gmbh bundles a wide range of services for the basf group throughout europe. in the heart of berlin, we combine expertise in the areas of finance, hr, supply chain, procurement, product safety and it. we focus on digital and customer-focused solutions, to create services for future. learn more about us and our location-independent work models at basf.com/en/servicehub-berlin/smartwork at basf, the chemistry is right. because we are counting on innovative solutions, on sustainable actions, and on connected thinking. and on you. become a part of our formula for success and develop the future with us - in a global team that embraces diversity and equal opportunities irrespective of gender, age, origin, sexual orientation, disability or belief. please note that we do not return paper applications including folders. please submit copies only and no original documents. please upload the documents, summarized in a pdf if possible. "," 10,001+ employees ", Chemical Manufacturing ,en,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
264," agc glass europe, a european leader in flat glassbased in louvain-la-neuve (belgium), agc glass europe produces, processes and distributes flat glass for the construction (external glazing and interior decorative glass), the automotive (original & replacement glass) and the solar sectors. it is the european branch of agc glass, the world's largest producer of flat glass.its baseline ""glass unlimited"" reflects the possibilities offered by:glass as a material to meet a growing variety of needs (comfort, energy control, health & safety, aesthetics, sustainability);innovation in products and processes, derived from continuous research in advanced glass technology;over 100 sites throughout europe, from spain to russia;a worldwide marketing network;its 16,000 employees focused on the customer. as a data scientist, you will play a key role in the end-to-end delivery of ai/data science projects, from the requirements’ analysis to the automation of the models. you will be expected to interact with both it and business data owners and specialists - internal and external - as well as business representatives/executives (marketing, manufacturing process, customer care, r&d …). expected start date: june 2022 for 9 months with possible extensions or conversion to permanent position. the data scientist will :work inside the central ai competence center team, one of the key players in agc digital transformation programs, in collaboration with many other local/departmental teams;work closely with business/it stakeholders to identify and prioritize business requirements;identify useful (internal/external) data sources;perform analysis on collected data to select the right features;build/validate/tune/deploy ml models in interaction with modern technology environment: aws, kubernetes, snowflake, …;communicate effectively the results and discuss the subsequent potential action plan. we are looking for a strong candidate with the following skills and qualifications: at least a master in information technology, mathematics, statistics or physics;experience in ai/ml/big data project(s);insights of ml/ai algorithms (xgboost, random-forest, svm, neural networks, etc.);effective experience in signal processing (sensor data, predictive maintenance, etc.);fluent in python;good presentation skills;experience in optimization is a plus;experience in cloud environment/technologies (aws, kubernetes, snowflake, …) is a plus;experience in deep learning (keras, tensorflow, pytorch, …) is a plus;professional proficiency in english+ french or dutch;eligibility to work in belgium, workplace is louvain-la-neuve; the ideal candidate should also have the following attributes: desire to be a team player of a growing structurestrong analytical skills with the ability to collect, organise, analyse and interpret large amounts of data to underline the relevant information regarding a specific business objective;problem-solving mindset;hands-on attitude;innate care about work quality;ability to interact at all levels, from the front-line staff to the executive team, with data experts (internal and external) and non-experts alike;learning agility. "," 10,001+ employees "," Glass, Ceramics and Concrete Manufacturing ",en,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
265," elisa’s data & analytics unit is responsible for development of large-scale analytics to various elisa’s business needs. we value the data, are focused of learning how to serve our customers better and want to produce experiences in our customers’ everyday life. we are looking for a data scientist to join elisa’s data & analytics unit. your main responsibilities includes analysis and modeling of customer perceived value / customer experience. the position is located in pasila (helsinki), but the work can be done basically anywhere from finland. the position is full-time and permanent. our team’s goal is to help business units to make data-driven decisions and build up the confidence on data throughout the organization. one of your main tasks is to plan, setup and maintain various customer experience analytics installations concerning customer experience. you’ll have a room to use your own imagination and skills to mold the ways you work with. you’ll get a chance to cooperate and share ideas with the leading partners of the industry. you’ll be working with different kinds of teams and help each of them finding their best results by measuring the right metrics, visualizing the data and gathering insights. we expect you to have strong experience in analytics of customer perceived value/customer experiencestrong experience of big data analytics and ml modellingexperience in visualizing data with google data studio or other excellent proficiency in analytics, databases and experience with some of the following: sql, apache spark, python, rseveral years of experience of working at a data scientist tasks and over five years of work experience in demanding analytics tasksgood social skills & fluent communication with finnish & english understanding of digital marketing and it’s toolsproject management and coordination skills or experience in supporting development we offer we offer you an opportunity to directly affect the everyday life of finns and the customer satisfaction of elisa with your work. elisa is by proof one of the best places to work in finland. we highly appreciate our extremely flexible working conditions, the endless learning opportunities and the friendly and laid-back culture, among other awesome things. welcome to join us and see it all for yourself! check out more reasons to join us. interested? apply through the link beneath as soon as possible! if you have any questions, don’t hesitate to ask from the hiring manager antti on antti.uusoksa[at]elisa.fi / 045-6700123 "," 5,001-10,000 employees ", Telecommunications ,en,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
267," at ikea, we are inspired by our past and we apply our culture and values in our daily work to create a unique offer and amazing ways of meeting our customers. but the world is changing fast, and we need to do the same. we are in the middle of a big transformation of our brand, quoting our ceo jesper brodin, ""we need to change everything (almost!)"", where digital will be an enabler in serving our customers and empower our co-workers. across our team you will that some products have a very fast delivery pace while others require a slower coordination process, which we find provides great variety. one of the great benefits of being part of such a big company is that our products reach more than 30 markets, even though our teams are small and self directed. business strategy is part of our business support domain. our vision is to serve state-of-the-art data driven experiences, services, tools and applications for better decision making across ikea. we believe in agile ways of working and strive towards autonomous teams with well-defined boundaries. our teams are composed of coworkers from engineering, data & analytics and product management. this gives us the opportunity to work end to end with our stakeholders, to deliver value. the opportunity to be part of something never done before at ikea - a huge digital transformation. you will be providing important software engineering contributions to a transformation from an outsourced landscape to internally built products, services and integrations. together with your team, you will focus on developing our suite of highly data-driven software products that help ikea make smarter business decisions. the challenge you will be developing scalable and reliable internal services and applications leveraging terraform and ci/cd pipelines to deploy in/to google cloud platform. python is our current backend language, but we also use node.js. on the frontend we use vue or react. your contributions in these areas will deliver direct and indirect value to our co-workers by helping them to make better decisions daily! as a software engineer, you have the skills to develop full-stack web applications using modern frameworks and cloud technologies. you are also adept at identifying and working with non-functional requirements and contributing to your team’s technical roadmap. you are curious, and not afraid of pushing your skills to the next level. you enjoy actively working with your team by sharing knowledge, mistakes and pitfalls. you see an ever-changing environment as a valuable flow of opportunities for learning and growth. what is the icing on the cake? you will be a part of a company with a great culture and a strong vision; ""to create a better everyday life for the many people"". you will work and thrive in a truly people and planet positive work environment. some of the perks that we offer - a workplace where you can be yourself - equal pay (our salaries are set independently of race, gender, age or other individual characteristics) - continuous learning on the job as well as structured trainings and platforms - co-worker discount - world's greatest colleagues and much more... let’s start this journey together in this role you will report to the engineering manager and the position will be in helsingborg (sweden). we value diversity among gender, age and cultural background and will evaluate all applications equally. "," 10,001+ employees ", Retail ,en,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
268," role purpose be part of our discover graduate program, joining our talent pool! we are looking for a passionate, talented, and inventive “ junior data scientist” to join our big data & ai team. as a junior data scientist, you will be responsible to provide actionable business insights that drive revenue, reduce cost, and improve customer experience. you will be working with key stakeholders within vodafone italy to generate hypotheses and supports the analytics modelling managers to create models that answer impactful business questions. as junior data scientist your main responsibilities will involve delving into data from different systems, structured and unstructured, both batch and real time, to discover hidden relationships and useful information translating complex datasets into key strategy insight and powerful capabilities to the business using machine learning /ai algorithms to perform modeling on network investment, predictive maintenance using machine learning /ai algorithms to perform modeling for marketing and sales – churn models, next best action modelling, customer segmentation, store locations etc... support the development of insightful dashboard to enable faster decision making identifying new data sources and evaluate emerging technologies for data discovery usage participating in a community of vodafone data scientists working in numerous countries your skills and qualifications must include master’s degree in quantitative fields like mathematics, statistics, computer science, and engineering hands-on experience with the big data analytics landscape and related tools, especially hadoop, hive/impala, spark (pyspark). previous experience in performing analytics on cloud platforms is a plus. fluency in coding using python and basic experience in python data analysis libraries such as pandas, numpy and scikit-learn good level experience with the mathematical foundations of modern machine learning/ai algorithms and statistics good communication skills, with the ability to present technical results to non-technical audiences curiosity, creativity, and an empirical mindset being detail-oriented location milano "," 10,001+ employees ", Telecommunications ,en,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
